AccusedMasterID,CaseMasterID,CrimeNo,AccusedName,AgeYear,Gender,PersonID,RingID,DistrictName,CrimeSubHead
1,1,800030004202400001,Joseph Shetty,49,F,A1,0,Mysuru,Chit Fund Fraud
4,3,100040001202400001,Basavaraj Patil,46,M,A1,0,Mangaluru (DK),Burglary
8,5,100040004202400002,Yashwanth Gowda,45,M,A1,0,Mangaluru (DK),Robbery
9,5,100040004202400002,Girish Kumar,25,M,A2,0,Mangaluru (DK),Robbery
10,5,100040004202400002,Suresh Shetty,44,M,A3,0,Mangaluru (DK),Robbery
14,7,100010004202400003,Fatima Bhat,50,M,A1,0,Bengaluru City,Cheating
16,9,100020004202400001,Joseph Patil,47,M,A1,0,Bengaluru Rural,Money Laundering
19,11,100020002202400002,Chetan Shetty,34,M,A1,0,Bengaluru Rural,Rioting
20,11,100020002202400002,Imran Shetty,18,M,A2,0,Bengaluru Rural,Rioting
21,11,100020002202400002,Ravi Hegde,47,M,A3,0,Bengaluru Rural,Rioting
22,11,100020002202400002,Nagaraj Rao,35,M,A4,0,Bengaluru Rural,Rioting
26,13,300070001202400001,Prakash Patil,26,F,A1,0,Kalaburagi,Rioting
27,13,300070001202400001,Prakash Kulkarni,25,M,A2,0,Kalaburagi,Rioting
29,15,100010001202400005,Nagaraj Rao,51,M,A1,0,Bengaluru City,Dacoity
30,15,100010001202400005,Anitha Shetty,34,M,A2,0,Bengaluru City,Dacoity
33,17,100010002202400006,Rekha Reddy,47,M,A1,0,Bengaluru City,Identity Theft
34,17,100010002202400006,Girish Nayak,32,M,A2,0,Bengaluru City,Identity Theft
35,17,100010002202400006,Joseph Kulkarni,24,F,A3,0,Bengaluru City,Identity Theft
38,19,100030004202400003,Shivakumar Hegde,49,M,A1,0,Mysuru,Domestic Violence
40,21,100010002202400008,Rekha Gowda,39,M,A1,0,Bengaluru City,Unlawful Assembly
41,21,100010002202400008,Fatima Rao,44,F,A2,0,Bengaluru City,Unlawful Assembly
42,21,100010002202400008,Fatima Desai,53,M,A3,0,Bengaluru City,Unlawful Assembly
44,23,100090005202400001,Lakshmi Kulkarni,55,M,A1,0,Vijayapura,Criminal Breach of Trust
45,23,100090005202400001,Prakash Kumar,46,M,A2,0,Vijayapura,Criminal Breach of Trust
46,23,100090005202400001,Vinutha Bhat,57,M,A3,0,Vijayapura,Criminal Breach of Trust
49,25,100010001202400011,Vinutha Kulkarni,51,M,A1,0,Bengaluru City,Unlawful Assembly
50,25,100010001202400011,Imran Murthy,29,M,A2,0,Bengaluru City,Unlawful Assembly
51,25,100010001202400011,Prakash Murthy,28,M,A3,0,Bengaluru City,Unlawful Assembly
52,25,100010001202400011,Yashwanth Hegde,44,M,A4,0,Bengaluru City,Unlawful Assembly
56,27,100020005202400005,Vinutha Prasad,45,M,A1,0,Bengaluru Rural,Dowry Harassment
57,27,100020005202400005,Shivakumar Shetty,57,M,A2,4,Bengaluru Rural,Dowry Harassment
