ArrestID,CaseMasterID,AccusedMasterID,AccusedName,ArrestType,ArrestDate,DistrictName,IOName
1,1,0,Joseph Shetty,Arrest,2024-01-01,Mysuru,Manjunath Murthy
2,5,0,Yashwanth Gowda,Arrest,2024-01-01,Mangaluru (DK),Basavaraj Nayak
5,9,0,Joseph Patil,Surrender,2024-01-01,Bengaluru Rural,Prakash Shetty
7,17,0,Joseph Kulkarni,Arrest,2024-01-01,Bengaluru City,Deepak Prasad
9,19,0,Shivakumar Hegde,Arrest,2024-01-01,Mysuru,Shivakumar Naik
11,21,0,Fatima Desai,Arrest,2024-01-01,Bengaluru City,Deepak Iyengar
12,23,0,Lakshmi Kulkarni,Arrest,2024-01-02,Vijayapura,Ravi Murthy
13,25,0,Imran Murthy,Arrest,2024-01-02,Bengaluru City,Chetan Shetty
15,27,0,Vinutha Prasad,Surrender,2024-01-02,Bengaluru Rural,Ashwini Kulkarni
17,29,0,Shivakumar Prasad,Arrest,2024-01-02,Udupi,Mary Shetty
18,31,0,Rekha Nayak,Arrest,2024-01-02,Hassan,Chetan Shetty
19,33,0,Yashwanth Rao,Surrender,2024-01-02,Davanagere,Shivakumar Shetty
22,41,0,Chetan Shetty,Arrest,2024-01-02,Mangaluru (DK),Anitha Gowda
24,49,0,Imran Desai,Surrender,2024-01-03,Hassan,Ravi Kulkarni
27,53,0,Ashwini Patil,Arrest,2024-01-03,Shivamogga,Suresh Hegde
29,55,0,Pooja Naik,Arrest,2024-01-03,Mysuru,Imran Murthy
33,67,0,Bhavana Prasad,Arrest,2024-01-03,Mysuru,Shivakumar Shetty
36,73,0,Girish Nayak,Arrest,2024-01-03,Ballari,Ashwini Gowda
39,77,0,Shivakumar Iyengar,Arrest,2024-01-04,Bengaluru City,Ravi Iyengar
42,83,0,Vinutha Shetty,Arrest,2024-01-04,Bengaluru City,Vinutha Rao
44,85,0,Yashwanth Rao,Arrest,2024-01-04,Bengaluru Rural,Basavaraj Murthy
47,89,0,Rekha Bhat,Arrest,2024-01-04,Mangaluru (DK),Joseph Bhat
48,91,0,Lakshmi Shetty,Arrest,2024-01-04,Mangaluru (DK),Fatima Hegde
50,93,0,Yashwanth Desai,Surrender,2024-01-04,Tumakuru,Imran Prasad
55,105,0,Basavaraj Kulkarni,Arrest,2024-01-05,Kalaburagi,Vinutha Shetty
56,107,0,Chetan Bhat,Arrest,2024-01-05,Mysuru,Pooja Rao
57,109,0,Basavaraj Shetty,Arrest,2024-01-05,Bengaluru City,Suresh Kumar
59,111,0,Mary Gowda,Arrest,2024-01-05,Mysuru,Vinutha Shetty
60,115,0,Pooja Kulkarni,Arrest,2024-01-05,Mysuru,Basavaraj Nayak
61,117,0,Yashwanth Nayak,Arrest,2024-01-05,Hassan,Deepak Gowda
63,121,0,Bhavana Rao,Arrest,2024-01-05,Mangaluru (DK),Pooja Murthy
65,123,0,Manjunath Iyengar,Surrender,2024-01-05,Bengaluru City,Imran Desai
69,129,0,Fatima Rao,Surrender,2024-01-05,Bengaluru City,Anitha Naik
71,131,0,Anitha Desai,Surrender,2024-01-05,Kalaburagi,Girish Gowda
72,133,0,Nagaraj Reddy,Arrest,2024-01-05,Shivamogga,Ravi Patil
73,135,0,Mary Nayak,Arrest,2024-01-05,Bengaluru City,Shivakumar Hegde
75,137,0,Suresh Prasad,Surrender,2024-01-05,Hassan,Bhavana Kumar
76,139,0,Vinutha Gowda,Arrest,2024-01-06,Bengaluru City,Mary Desai
78,141,0,Vinutha Nayak,Arrest,2024-01-06,Hassan,Suresh Naik
79,143,0,Anitha Iyengar,Arrest,2024-01-06,Mangaluru (DK),Ashwini Bhat
81,147,0,Vinutha Bhat,Arrest,2024-01-06,Kalaburagi,Yashwanth Kumar
83,149,0,Anitha Kumar,Arrest,2024-01-06,Bengaluru Rural,Deepak Iyengar
84,151,0,Mary Bhat,Arrest,2024-01-06,Kalaburagi,Rekha Desai
86,153,0,Girish Hegde,Arrest,2024-01-06,Bengaluru Rural,Joseph Gowda
88,157,0,Deepak Kumar,Arrest,2024-01-06,Tumakuru,Ravi Kulkarni
89,159,0,Nagaraj Naik,Arrest,2024-01-06,Ballari,Deepak Patil
91,161,0,Mary Kumar,Arrest,2024-01-06,Bengaluru City,Imran Kumar
93,163,0,Bhavana Naik,Arrest,2024-01-06,Shivamogga,Yashwanth Hegde
95,165,0,Shivakumar Hegde,Arrest,2024-01-07,Hassan,Rekha Kumar
97,167,0,Ravi Prasad,Arrest,2024-01-07,Mangaluru (DK),Vinutha Desai
99,173,0,Prakash Rao,Arrest,2024-01-07,Vijayapura,Anitha Gowda
101,175,0,Ravi Murthy,Arrest,2024-01-07,Bengaluru City,Joseph Iyengar
103,179,0,Kiran Kumar,Arrest,2024-01-07,Kalaburagi,Pooja Nayak
107,185,0,Basavaraj Kulkarni,Arrest,2024-01-07,Hassan,Mary Naik
109,191,0,Rekha Naik,Arrest,2024-01-08,Hubballi-Dharwad,Kiran Desai
110,193,0,Vinutha Rao,Arrest,2024-01-08,Bengaluru City,Vinutha Bhat
112,195,0,Lakshmi Murthy,Arrest,2024-01-08,Hassan,Kiran Hegde
114,199,0,Anitha Kumar,Arrest,2024-01-08,Belagavi,Suresh Rao
116,201,0,Anitha Prasad,Surrender,2024-01-08,Hubballi-Dharwad,Bhavana Shetty
119,205,0,Shivakumar Hegde,Surrender,2024-01-08,Bengaluru City,Imran Patil
120,207,0,Girish Rao,Arrest,2024-01-08,Bengaluru City,Prakash Desai
122,209,0,Mary Naik,Arrest,2024-01-08,Bengaluru Rural,Basavaraj Rao
127,217,0,Deepak Rao,Arrest,2024-01-09,Bengaluru City,Kiran Hegde
129,219,0,Joseph Naik,Arrest,2024-01-09,Belagavi,Manjunath Iyengar
131,221,0,Basavaraj Hegde,Arrest,2024-01-09,Kalaburagi,Girish Gowda
133,223,0,Joseph Prasad,Arrest,2024-01-09,Bengaluru City,Shivakumar Kumar
134,227,0,Deepak Naik,Arrest,2024-01-09,Belagavi,Nagaraj Murthy
136,229,0,Suresh Gowda,Arrest,2024-01-09,Bengaluru Rural,Lakshmi Shetty
137,231,0,Pooja Prasad,Arrest,2024-01-10,Hubballi-Dharwad,Joseph Iyengar
142,243,0,Prakash Patil,Arrest,2024-01-10,Hassan,Manjunath Nayak
144,245,0,Lakshmi Nayak,Arrest,2024-01-10,Hubballi-Dharwad,Suresh Kulkarni
147,249,0,Nagaraj Patil,Arrest,2024-01-10,Tumakuru,Girish Kumar
149,251,0,Rekha Kulkarni,Arrest,2024-01-10,Hubballi-Dharwad,Nagaraj Reddy
152,255,0,Manjunath Iyengar,Arrest,2024-01-11,Belagavi,Vinutha Patil
157,267,0,Ravi Kulkarni,Arrest,2024-01-11,Mangaluru (DK),Nagaraj Murthy
159,271,0,Ashwini Kulkarni,Surrender,2024-01-11,Bengaluru City,Yashwanth Reddy
161,275,0,Basavaraj Naik,Arrest,2024-01-11,Bengaluru City,Vinutha Nayak
163,281,0,Bhavana Gowda,Surrender,2024-01-11,Bengaluru City,Bhavana Reddy
164,283,0,Bhavana Murthy,Arrest,2024-01-11,Mangaluru (DK),Deepak Iyengar
167,289,0,Joseph Naik,Arrest,2024-01-11,Davanagere,Mary Desai
169,291,0,Deepak Desai,Arrest,2024-01-11,Bengaluru City,Yashwanth Iyengar
171,293,0,Joseph Prasad,Arrest,2024-01-11,Bengaluru City,Lakshmi Naik
172,295,0,Fatima Nayak,Arrest,2024-01-11,Hubballi-Dharwad,Prakash Shetty
176,303,0,Manjunath Iyengar,Surrender,2024-01-12,Kalaburagi,Mary Murthy
177,305,0,Imran Patil,Surrender,2024-01-12,Bengaluru City,Imran Hegde
178,307,0,Kiran Desai,Arrest,2024-01-12,Bengaluru City,Suresh Kumar
180,309,0,Imran Nayak,Arrest,2024-01-12,Bengaluru City,Girish Iyengar
182,311,0,Ravi Gowda,Arrest,2024-01-12,Hubballi-Dharwad,Lakshmi Iyengar
185,315,0,Deepak Gowda,Surrender,2024-01-12,Belagavi,Deepak Patil
188,321,0,Pooja Prasad,Arrest,2024-01-12,Davanagere,Prakash Bhat
190,323,0,Shivakumar Prasad,Arrest,2024-01-12,Hubballi-Dharwad,Chetan Reddy
191,325,0,Manjunath Nayak,Arrest,2024-01-12,Belagavi,Suresh Murthy
193,329,0,Yashwanth Bhat,Surrender,2024-01-12,Vijayapura,Kiran Gowda
195,333,0,Bhavana Prasad,Arrest,2024-01-12,Shivamogga,Fatima Iyengar
197,335,0,Imran Shetty,Arrest,2024-01-12,Mysuru,Vinutha Rao
198,337,0,Mary Murthy,Arrest,2024-01-12,Bengaluru City,Rekha Gowda
200,339,0,Prakash Prasad,Arrest,2024-01-13,Belagavi,Suresh Reddy
201,341,0,Joseph Gowda,Arrest,2024-01-13,Udupi,Joseph Rao
203,345,0,Rekha Desai,Arrest,2024-01-13,Raichur,Yashwanth Patil
205,347,0,Joseph Shetty,Arrest,2024-01-13,Belagavi,Basavaraj Hegde
206,349,0,Basavaraj Reddy,Surrender,2024-01-13,Kalaburagi,Deepak Rao
208,351,0,Fatima Kulkarni,Arrest,2024-01-13,Kalaburagi,Manjunath Patil
210,353,0,Shivakumar Desai,Arrest,2024-01-13,Belagavi,Vinutha Gowda
213,357,0,Pooja Murthy,Arrest,2024-01-13,Hassan,Chetan Reddy
214,359,0,Manjunath Shetty,Arrest,2024-01-13,Bengaluru City,Lakshmi Gowda
216,361,0,Prakash Kulkarni,Arrest,2024-01-13,Hassan,Yashwanth Rao
217,363,0,Pooja Desai,Arrest,2024-01-13,Bengaluru Rural,Deepak Prasad
219,365,0,Anitha Nayak,Arrest,2024-01-13,Bengaluru City,Vinutha Kulkarni
