LinkID,AccusedA,AccusedB,SharedCases,RingID
15701,Chetan Prasad,Yashwanth Murthy,11,6
4588,Chetan Prasad,Joseph Iyengar,10,6
5202,Chetan Prasad,Girish Bhat,9,6
8650,Kiran Murthy,Suresh Desai,9,8
17836,Girish Gowda,Yashwanth Murthy,9,6
1746,Pooja Rao,Pooja Shetty,8,7
2075,Joseph Prasad,Suresh Bhat,8,7
5049,Fatima Iyengar,Nagaraj Gowda,8,1
5834,Imran Naik,Mary Iyengar,8,0
10092,Imran Kumar,Nagaraj Iyengar,8,0
10457,Prakash Rao,Shivakumar Naik,8,5
11149,Basavaraj Patil,Nagaraj Bhat,8,2
17,Nagaraj Rao,Ravi Hegde,7,0
231,Anitha Patil,Chetan Kulkarni,7,0
1387,Basavaraj Bhat,Chetan Kulkarni,7,2
1388,Bhavana Gowda,Yashwanth Rao,7,1
1427,Basavaraj Iyengar,Girish Patil,7,3
2083,Deepak Iyengar,Manjunath Naik,7,3
4173,Manjunath Shetty,Nagaraj Kulkarni,7,4
4364,Fatima Gowda,Imran Nayak,7,1
4449,Mary Reddy,Yashwanth Rao,7,5
7212,Chetan Hegde,Fatima Murthy,7,0
7280,Imran Patil,Suresh Patil,7,0
8605,Ashwini Desai,Imran Nayak,7,0
8797,Bhavana Naik,Yashwanth Bhat,7,3
9215,Basavaraj Naik,Basavaraj Patil,7,2
10296,Rekha Murthy,Shivakumar Shetty,7,7
12013,Joseph Hegde,Suresh Bhat,7,7
12999,Lakshmi Patil,Pooja Shetty,7,6
13151,Prakash Kumar,Shivakumar Desai,7,4
14196,Manjunath Prasad,Yashwanth Patil,7,0
14854,Nagaraj Bhat,Yashwanth Murthy,7,3
15679,Pooja Shetty,Yashwanth Murthy,7,6
16625,Chetan Kulkarni,Fatima Shetty,7,7
18065,Ravi Shetty,Shivakumar Prasad,7,0
19494,Imran Rao,Lakshmi Reddy,7,8
23178,Ashwini Iyengar,Rekha Iyengar,7,4
23321,Manjunath Shetty,Shivakumar Shetty,7,4
24943,Lakshmi Reddy,Mary Murthy,7,8
39,Imran Murthy,Yashwanth Hegde,6,0
150,Basavaraj Iyengar,Girish Murthy,6,3
305,Suresh Hegde,Yashwanth Reddy,6,5
454,Ashwini Desai,Manjunath Iyengar,6,0
495,Imran Murthy,Manjunath Gowda,6,0
611,Bhavana Kumar,Ravi Hegde,6,0
737,Rekha Rao,Shivakumar Shetty,6,8
803,Fatima Kumar,Rekha Iyengar,6,4
848,Girish Patil,Mary Naik,6,7
880,Bhavana Reddy,Lakshmi Desai,6,0
952,Manjunath Gowda,Nagaraj Bhat,6,3
1044,Girish Patil,Prakash Patil,6,0
1049,Manjunath Gowda,Shivakumar Shetty,6,8
1052,Basavaraj Bhat,Yashwanth Murthy,6,2
1087,Girish Patil,Manjunath Reddy,6,0
1146,Basavaraj Murthy,Imran Nayak,6,0
1292,Mary Desai,Pooja Rao,6,7
1509,Prakash Patil,Yashwanth Kulkarni,6,0
1730,Basavaraj Reddy,Shivakumar Desai,6,4
1741,Basavaraj Patil,Mary Kulkarni,6,2
1782,Pooja Shetty,Vinutha Gowda,6,6
1835,Deepak Rao,Suresh Shetty,6,7
1850,Mary Desai,Suresh Shetty,6,0
1890,Anitha Murthy,Prakash Shetty,6,0
1891,Prakash Shetty,Ravi Patil,6,0
2151,Manjunath Patil,Vinutha Bhat,6,0
2533,Ashwini Reddy,Vinutha Desai,6,0
2879,Kiran Desai,Lakshmi Patil,6,0
3140,Bhavana Prasad,Vinutha Desai,6,3
3542,Chetan Iyengar,Manjunath Desai,6,8
