ComplainantID,CaseMasterID,ComplainantName,AgeYear,Gender,Occupation,Religion,Caste
1,1,Basavaraj Hegde,58,F,Farmer,Christian,Not Recorded
3,3,Rekha Iyengar,20,M,Driver,Hindu,SC
5,5,Imran Desai,20,M,Student,Jain,SC
7,7,Anitha Rao,65,F,IT Professional,Hindu,ST
9,9,Prakash Prasad,36,M,Govt Employee,Christian,General
11,11,Shivakumar Iyengar,46,M,IT Professional,Christian,OBC
13,13,Ashwini Shetty,68,F,IT Professional,Christian,ST
15,15,Fatima Naik,46,F,IT Professional,Jain,OBC
17,17,Anitha Naik,28,M,IT Professional,Hindu,ST
19,19,Ashwini Prasad,48,M,Unemployed,Jain,Not Recorded
21,21,Yashwanth Kumar,21,F,Unemployed,Jain,SC
23,23,Fatima Rao,22,M,Daily Wage,Jain,OBC
25,25,Pooja Kumar,18,M,IT Professional,Jain,OBC
27,27,Lakshmi Reddy,63,F,Govt Employee,Jain,General
29,29,Prakash Rao,66,F,Daily Wage,Jain,ST
31,31,Pooja Gowda,52,M,IT Professional,Christian,General
33,33,Mary Kumar,46,F,Govt Employee,Christian,Not Recorded
35,35,Girish Rao,62,M,Driver,Hindu,General
37,37,Prakash Kulkarni,27,F,Driver,Other,SC
39,39,Lakshmi Iyengar,60,M,Govt Employee,Christian,SC
41,41,Ashwini Nayak,40,M,Business,Muslim,OBC
43,43,Deepak Hegde,35,F,IT Professional,Other,General
45,45,Ravi Hegde,44,F,Govt Employee,Christian,ST
47,47,Ravi Reddy,44,M,Daily Wage,Muslim,Not Recorded
49,49,Bhavana Reddy,31,F,Govt Employee,Other,OBC
51,51,Basavaraj Gowda,43,M,Business,Jain,SC
53,53,Basavaraj Naik,41,M,Student,Other,General
55,55,Suresh Naik,54,F,Student,Muslim,OBC
57,57,Bhavana Kumar,65,M,Daily Wage,Christian,Not Recorded
59,59,Joseph Gowda,30,M,Driver,Hindu,Not Recorded
61,61,Chetan Naik,53,M,Driver,Christian,Not Recorded
63,63,Rekha Shetty,52,M,IT Professional,Other,Not Recorded
65,65,Vinutha Kumar,39,M,Daily Wage,Christian,Not Recorded
67,67,Suresh Nayak,33,F,Daily Wage,Other,Not Recorded
69,69,Suresh Desai,51,M,Business,Muslim,Not Recorded
71,71,Girish Kulkarni,47,M,Business,Other,ST
