TxnID,AccusedMasterID,AccusedName,Counterparty,Amount,TxnDate,AccountRef
1,0,Joseph Shetty,Anitha Patil,2309083,2024-01-01 00:12:45,AC96655097
2,0,Joseph Shetty,Pooja Shetty,2592648,2024-01-01 00:12:45,AC68297747
3,0,Suresh Hegde,Imran Gowda,3640273,2024-01-01 00:41:51,AC16308676
4,0,Anitha Murthy,Bhavana Desai,1726777,2024-01-01 00:41:51,AC33344131
5,0,Anitha Murthy,Joseph Kulkarni,2544260,2024-01-01 00:41:51,AC81201004
6,0,Fatima Bhat,Girish Hegde,2055000,2024-01-01 07:10:09,AC75700541
7,0,Fatima Bhat,Anitha Bhat,3529167,2024-01-01 07:10:09,AC35686059
8,0,Fatima Bhat,Ravi Desai,288147,2024-01-01 07:10:09,AC87138918
9,0,Fatima Bhat,Imran Patil,390902,2024-01-01 07:10:09,AC66398767
10,0,Fatima Bhat,Pooja Prasad,848369,2024-01-01 07:10:09,AC14432760
11,0,Kiran Nayak,Basavaraj Kulkarni,2681415,2024-01-01 07:52:35,AC17000399
12,0,Kiran Nayak,Prakash Naik,851703,2024-01-01 07:52:35,AC12900826
13,0,Kiran Nayak,Ashwini Kulkarni,1454768,2024-01-01 07:52:35,AC59011575
14,0,Kiran Nayak,Bhavana Shetty,3345428,2024-01-01 07:52:35,AC67612770
15,0,Joseph Patil,Nagaraj Hegde,2107176,2024-01-01 08:20:02,AC66228568
16,0,Joseph Patil,Imran Patil,1805378,2024-01-01 08:20:02,AC23171527
17,0,Joseph Patil,Prakash Kulkarni,631851,2024-01-01 08:20:02,AC16357399
18,0,Rekha Gowda,Girish Patil,59571,2024-01-01 15:21:24,AC54133653
19,0,Rekha Gowda,Basavaraj Rao,983227,2024-01-01 15:21:24,AC87381877
20,0,Joseph Kulkarni,Yashwanth Desai,3607691,2024-01-01 16:51:20,AC70811659
21,0,Joseph Kulkarni,Kiran Iyengar,2628321,2024-01-01 16:51:20,AC98774185
22,0,Pooja Desai,Imran Kumar,985999,2024-01-02 02:14:37,AC62493188
23,0,Pooja Desai,Ravi Hegde,3867022,2024-01-02 02:14:37,AC60241734
24,0,Pooja Desai,Pooja Rao,3764233,2024-01-02 02:14:37,AC28287582
25,0,Pooja Desai,Yashwanth Rao,1596928,2024-01-02 02:14:37,AC74074127
26,0,Pooja Desai,Imran Shetty,1637669,2024-01-02 02:14:37,AC20339133
27,0,Lakshmi Kulkarni,Basavaraj Bhat,228869,2024-01-02 02:40:16,AC11904563
28,0,Prakash Kumar,Chetan Iyengar,2010359,2024-01-02 02:40:16,AC71799569
29,0,Lakshmi Kulkarni,Pooja Hegde,3269192,2024-01-02 02:40:16,AC75473067
30,0,Prakash Kumar,Girish Nayak,4205676,2024-01-02 02:40:16,AC23546967
31,0,Prakash Kumar,Fatima Hegde,3655963,2024-01-02 02:40:16,AC77146181
32,0,Bhavana Bhat,Mary Murthy,4355473,2024-01-02 16:37:49,AC16828262
33,0,Manjunath Shetty,Ravi Hegde,2294238,2024-01-02 16:37:49,AC99989567
34,0,Manjunath Shetty,Vinutha Nayak,4983137,2024-01-02 16:37:49,AC84711359
35,0,Manjunath Shetty,Suresh Naik,4629713,2024-01-02 16:37:49,AC26494980
36,0,Manjunath Shetty,Prakash Desai,4395471,2024-01-02 16:37:49,AC95312460
37,0,Deepak Naik,Shivakumar Shetty,4939706,2024-01-02 22:41:07,AC71661041
38,0,Deepak Naik,Deepak Rao,984009,2024-01-02 22:41:07,AC63968128
39,0,Rekha Murthy,Girish Prasad,4724335,2024-01-02 22:41:07,AC15776375
40,0,Rekha Murthy,Rekha Reddy,4797077,2024-01-02 22:41:07,AC51303225
41,0,Rekha Murthy,Kiran Kumar,1194540,2024-01-02 22:41:07,AC46753469
42,0,Basavaraj Iyengar,Shivakumar Prasad,130069,2024-01-02 23:27:18,AC35811636
43,0,Basavaraj Iyengar,Kiran Nayak,2011602,2024-01-02 23:27:18,AC86847795
44,0,Lakshmi Bhat,Vinutha Kulkarni,4076153,2024-01-02 23:27:18,AC90158612
45,0,Bhavana Gowda,Imran Iyengar,2764097,2024-01-02 23:27:18,AC95863758
46,0,Prakash Bhat,Manjunath Iyengar,518104,2024-01-03 12:07:58,AC30381829
47,0,Deepak Prasad,Yashwanth Kulkarni,2093249,2024-01-03 12:07:58,AC61589751
48,0,Deepak Prasad,Bhavana Prasad,3241017,2024-01-03 12:07:58,AC92797436
49,0,Prakash Bhat,Rekha Shetty,4637971,2024-01-03 12:07:58,AC29119619
