OffenderRiskID,AccusedName,TotalCases,ViolentCases,RingID,RiskScore,RiskBand,Factors
1,Joseph Shetty,280,71,4,100,High,280 cases; 71 violent; organized-ring member
2,Anitha Murthy,246,56,0,100,High,246 cases; 56 violent
3,Suresh Hegde,258,53,0,100,High,258 cases; 53 violent
4,Basavaraj Patil,369,90,2,100,High,369 cases; 90 violent; organized-ring member
5,Bhavana Gowda,428,106,1,100,High,428 cases; 106 violent; organized-ring member
6,Manjunath Bhat,243,75,0,100,High,243 cases; 75 violent
7,Nagaraj Bhat,359,88,3,100,High,359 cases; 88 violent; organized-ring member
8,Yashwanth Gowda,252,72,0,100,High,252 cases; 72 violent
9,Girish Kumar,162,51,0,100,High,162 cases; 51 violent
10,Suresh Shetty,231,60,0,100,High,231 cases; 60 violent
11,Prakash Shetty,341,87,0,100,High,341 cases; 87 violent
12,Manjunath Kumar,265,65,3,100,High,265 cases; 65 violent; organized-ring member
13,Joseph Patil,258,66,3,100,High,258 cases; 66 violent; organized-ring member
14,Fatima Bhat,196,54,0,100,High,196 cases; 54 violent
15,Kiran Nayak,190,48,0,100,High,190 cases; 48 violent
16,Yashwanth Iyengar,203,55,7,100,High,203 cases; 55 violent; organized-ring member
17,Lakshmi Reddy,218,66,8,100,High,218 cases; 66 violent; organized-ring member
18,Chetan Shetty,249,60,0,100,High,249 cases; 60 violent
19,Imran Shetty,257,69,0,100,High,257 cases; 69 violent
20,Ravi Hegde,285,65,0,100,High,285 cases; 65 violent
21,Nagaraj Rao,334,90,0,100,High,334 cases; 90 violent
22,Joseph Murthy,215,47,0,100,High,215 cases; 47 violent
23,Joseph Nayak,278,73,0,100,High,278 cases; 73 violent
24,Kiran Desai,262,54,0,100,High,262 cases; 54 violent
25,Prakash Patil,314,76,0,100,High,314 cases; 76 violent
26,Prakash Kulkarni,304,100,7,100,High,304 cases; 100 violent; organized-ring member
27,Rekha Gowda,317,76,0,100,High,317 cases; 76 violent
28,Anitha Shetty,208,63,0,100,High,208 cases; 63 violent
29,Manjunath Gowda,341,77,0,100,High,341 cases; 77 violent
30,Rekha Reddy,278,76,0,100,High,278 cases; 76 violent
31,Girish Nayak,281,69,0,100,High,281 cases; 69 violent
32,Joseph Kulkarni,270,66,0,100,High,270 cases; 66 violent
33,Mary Murthy,357,96,8,100,High,357 cases; 96 violent; organized-ring member
34,Ashwini Bhat,203,57,0,100,High,203 cases; 57 violent
35,Shivakumar Hegde,249,75,1,100,High,249 cases; 75 violent; organized-ring member
36,Anitha Reddy,277,72,0,100,High,277 cases; 72 violent
37,Fatima Rao,193,51,0,100,High,193 cases; 51 violent
38,Fatima Desai,191,39,0,100,High,191 cases; 39 violent
39,Pooja Desai,260,66,0,100,High,260 cases; 66 violent
40,Lakshmi Kulkarni,301,78,0,100,High,301 cases; 78 violent
41,Prakash Kumar,286,73,0,100,High,286 cases; 73 violent
42,Vinutha Bhat,254,78,0,100,High,254 cases; 78 violent
43,Joseph Reddy,271,68,2,100,High,271 cases; 68 violent; organized-ring member
44,Prakash Bhat,236,61,0,100,High,236 cases; 61 violent
45,Vinutha Kulkarni,237,63,0,100,High,237 cases; 63 violent
46,Imran Murthy,245,68,0,100,High,245 cases; 68 violent
47,Prakash Murthy,200,63,0,100,High,200 cases; 63 violent
48,Yashwanth Hegde,324,90,0,100,High,324 cases; 90 violent
49,Pooja Kumar,250,69,8,100,High,250 cases; 69 violent; organized-ring member
50,Nagaraj Nayak,176,57,0,100,High,176 cases; 57 violent
51,Vinutha Prasad,254,58,0,100,High,254 cases; 58 violent
52,Shivakumar Shetty,432,103,8,100,High,432 cases; 103 violent; organized-ring member
53,Lakshmi Prasad,265,56,0,100,High,265 cases; 56 violent
54,Kiran Kumar,284,75,0,100,High,284 cases; 75 violent
55,Shivakumar Prasad,314,68,0,100,High,314 cases; 68 violent
56,Ravi Prasad,222,61,0,100,High,222 cases; 61 violent
57,Shivakumar Rao,191,45,0,100,High,191 cases; 45 violent
58,Rekha Nayak,213,52,8,100,High,213 cases; 52 violent; organized-ring member
59,Suresh Prasad,274,80,0,100,High,274 cases; 80 violent
