VictimMasterID,CaseMasterID,VictimName,AgeYear,Gender
1,1,Shivakumar Kumar,13,F
2,3,Ravi Iyengar,29,F
5,7,Ravi Rao,55,F
7,9,Nagaraj Kulkarni,27,M
9,11,Manjunath Nayak,53,F
12,13,Imran Bhat,48,M
13,15,Lakshmi Shetty,30,F
15,19,Imran Hegde,10,F
17,23,Joseph Rao,39,F
20,25,Fatima Kumar,54,M
21,27,Ashwini Prasad,47,F
22,27,Vinutha Bhat,39,M
25,31,Bhavana Desai,74,F
26,33,Anitha Shetty,26,M
29,37,Nagaraj Desai,18,F
32,39,Girish Naik,24,M
37,45,Kiran Kumar,42,F
39,47,Pooja Hegde,19,M
40,47,Basavaraj Shetty,7,F
43,51,Mary Murthy,69,M
45,53,Prakash Shetty,70,F
48,57,Basavaraj Naik,51,F
50,59,Mary Gowda,60,M
54,63,Ashwini Prasad,65,M
57,67,Nagaraj Bhat,5,M
58,69,Imran Shetty,58,F
59,69,Basavaraj Hegde,34,F
63,73,Vinutha Naik,69,M
64,73,Basavaraj Reddy,33,M
67,77,Mary Murthy,40,F
69,79,Yashwanth Bhat,70,F
71,81,Chetan Prasad,18,M
72,81,Ashwini Kumar,16,M
74,85,Pooja Prasad,40,M
75,85,Deepak Hegde,11,F
77,87,Suresh Desai,67,F
79,89,Basavaraj Kumar,5,M
83,93,Vinutha Kulkarni,26,F
86,99,Imran Nayak,48,M
89,103,Basavaraj Naik,70,F
90,103,Manjunath Rao,54,F
92,105,Ashwini Gowda,14,F
95,109,Yashwanth Rao,31,M
96,111,Nagaraj Reddy,14,M
99,115,Chetan Patil,8,F
100,115,Shivakumar Reddy,51,M
101,117,Joseph Kulkarni,48,F
104,121,Anitha Kulkarni,59,M
106,123,Imran Reddy,56,M
107,123,Rekha Reddy,11,F
108,125,Bhavana Hegde,64,F
109,127,Girish Bhat,58,F
113,131,Vinutha Naik,34,M
114,131,Joseph Prasad,53,F
116,133,Manjunath Murthy,62,F
119,137,Yashwanth Gowda,41,M
122,139,Anitha Prasad,35,M
126,143,Imran Reddy,61,F
127,145,Manjunath Bhat,60,M
128,145,Yashwanth Nayak,72,F
129,149,Lakshmi Kumar,44,F
132,153,Rekha Bhat,36,F
134,155,Ashwini Rao,15,M
136,157,Yashwanth Desai,15,F
137,157,Shivakumar Shetty,34,F
